ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
2217	33	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2218	17	1	2	0.000000	1.117647	1.117647	0.000000	0.000000	0	0	0
2219	31	1	1	0.000000	1.677419	1.677419	0.000000	0.000000	0	0	0
2220	8	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2221	31	1	1	0.000000	2.774194	1.161290	0.000000	0.000000	0	0	0
2222	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2223	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2224	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2225	65	1	0	0.000000	1.015385	1.015385	0.000000	0.000000	0	0	0
2226	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2227	26	2	2	0.000000	2.230769	2.230769	0.000000	0.000000	0	0	0
2228	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2229	11	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2230	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2231	78	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2232	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2233	1	3	2	0.000000	1345.000000	2.000000	0.000000	0.000000	0	0	0
2234	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2235	32	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2236	4	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
2237	2	2	2	0.000000	392.000000	2.000000	0.000000	0.000000	0	0	0
2238	8	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2239	18	1	1	0.000000	1.611111	1.611111	0.000000	0.000000	0	0	0
2240	13	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2241	23	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2242	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2243	37	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2244	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2245	1	1	2	0.000000	1845.000000	4.000000	0.000000	0.000000	0	0	0
2246	15	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2247	1	1	1	0.000000	2780.000000	3.000000	0.000000	0.000000	0	0	0
2248	10	1	1	0.000000	2.100000	2.100000	0.000000	0.000000	0	0	0
2249	21	1	2	0.000000	2.523810	2.523810	0.000000	0.000000	0	0	0
2250	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2251	11	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2252	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2253	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2254	7	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2255	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2256	37	1	1	0.000000	1.135135	1.135135	0.000000	0.000000	0	0	0
2257	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2258	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2259	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2260	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
